web-scraper-order,web-scraper-start-url,url,url-href,title,time,date,venue,image-src,price,tags
"1554984945-198","https://www.eventbrite.com/d/dc--washington/all-events/?page=40","Songbyrd Presents: Delicate SteveSongbyrd Presents: Delicate Steve","https://www.eventbrite.com/e/songbyrd-presents-delicate-steve-tickets-55981970581?aff=ebdssbdestsearch","Songbyrd Presents: Delicate Steve","7:00 PM – 10:30 PM EDT","Sat, May 11, 2019","Sat, May 11, 2019
											7:00 PM – 10:30 PM EDT
											
												Add to Calendar","","$13 – $15","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Performance""},{""tags"":""Music""}]"
"1554981658-123","https://www.eventbrite.com/d/dc--washington/all-events/?page=43","GRYPHON SUNDAYS BRUNCH & DAY PARTY - BERNICE BURGOS BDAY PT 2GRYPHON SUNDAYS BRUNCH & DAY PARTY - BERNICE BURGOS BDAY PT 2","https://www.eventbrite.com/e/gryphon-sundays-brunch-day-party-bernice-burgos-bday-pt-2-tickets-55675393601?aff=ebdssbdestsearch","GRYPHON SUNDAYS BRUNCH & DAY PARTY - BERNICE BURGOS BDAY PT 2","12:30 PM – 11:00 PM EDT","Sun, April 14, 2019","Select a different date","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Party""},{""tags"":""Music""}]"
"1554999745-888","https://www.eventbrite.com/d/dc--washington/all-events/?page=5","THE &WINGZ HENNY BAR CRAWLTHE &WINGZ HENNY BAR CRAWL","https://www.eventbrite.com/e/the-wingz-henny-bar-crawl-tickets-58300623735?aff=ebdssbdestsearch","THE &WINGZ HENNY BAR CRAWL","3:00 PM – 11:00 PM EDT","Sat, April 13, 2019","Tropicalia | Vivid Lounge | Cloak & Dagger | Pure Lounge | Amsterdam |
									U Street Northwest 
									Washington, DC 20009 
									United States 
								
									View Map
									View Map","","$10 – $30","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Festival""},{""tags"":""Food & Drink""}]"
"1554999773-894","https://www.eventbrite.com/d/dc--washington/all-events/?page=5","DC Region April 13, 2019 Super Saturday with CHRIS DOWNING!DC Region April 13, 2019 Super Saturday with CHRIS DOWNING!","https://www.eventbrite.com/e/dc-region-april-13-2019-super-saturday-with-chris-downing-tickets-54921613023?aff=ebdssbdestsearch","DC Region April 13, 2019 Super Saturday with CHRIS DOWNING!","9:00 AM – 1:00 PM EDT","Sat, April 13, 2019","The Waterford Reception Center
									6715 Commerce Street 
									Springfield, VA 22150 
									United States 
								
									View Map
									View Map","","$0 – $45","[{""tags"":""Things to do in Springfield, VA""},{""tags"":""Conference""},{""tags"":""Health""}]"
"1554982984-153","https://www.eventbrite.com/d/dc--washington/all-events/?page=42","Challenges, Opportunities, and the Prospects for Meaningful Data Privacy Legislation in the U.S.Challenges, Opportunities, and the Prospects for Meaningful Data Privacy Le...","https://www.eventbrite.com/e/challenges-opportunities-and-the-prospects-for-meaningful-data-privacy-legislation-in-the-us-tickets-58739700024?aff=ebdssbdestsearch","Challenges, Opportunities, and the Prospects for Meaningful Data Privacy Le...","9:00 AM – 5:00 PM EDT","Mon, April 15, 2019","American University Washington College of Law
									4300 Nebraska Avenue Northwest 
									Room NT01 
									Washington, DC 20016 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Conference""},{""tags"":""Science & Tech""}]"
"1554999596-855","https://www.eventbrite.com/d/dc--washington/all-events/?page=6","2019 FedTalks2019 FedTalks","https://www.eventbrite.com/e/2019-fedtalks-registration-53648701711?aff=ebdssbdestsearch","null","null","null","null","","null","[{""tags"":""""}]"
"1554999842-908","https://www.eventbrite.com/d/dc--washington/all-events/?page=4","The Set: A R&B ExperienceThe Set: A R&B Experience","https://www.eventbrite.com/e/the-set-a-rb-experience-tickets-56948038115?aff=ebdssbdestsearch","The Set: A R&B Experience","Sun, Apr 14, 2019, 3:00 AM EDT","Sat, Apr 13, 2019, 10:00 PM –","Select a different date","","$0 – $15","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Party""},{""tags"":""Other""}]"
"1554997111-375","https://www.eventbrite.com/d/dc--washington/all-events/?page=30","Pure Fridays $1Happy Hour + PartyPure Fridays $1Happy Hour + Party","https://www.eventbrite.com/e/pure-fridays-1happy-hour-party-tickets-58851371035?aff=ebdssbdestsearch","Pure Fridays $1Happy Hour + Party","Sat, Apr 13, 2019, 3:00 AM EDT","Fri, Apr 12, 2019, 9:00 PM –","Select a different date","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Party""},{""tags"":""Food & Drink""}]"
"1554999947-930","https://www.eventbrite.com/d/dc--washington/all-events/?page=3","Ozio Day Drip (Saturday Day Party DC)Ozio Day Drip (Saturday Day Party DC)","https://www.eventbrite.com/e/ozio-day-drip-saturday-day-party-dc-tickets-58650658699?aff=ebdssbdestsearch","Ozio Day Drip (Saturday Day Party DC)","3:00 PM – 9:00 PM EDT","Sat, April 13, 2019","Select a different date","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Party""},{""tags"":""Music""}]"
"1554981507-120","https://www.eventbrite.com/d/dc--washington/all-events/?page=44","Pitcher's Drag PicnicPitcher's Drag Picnic","https://www.eventbrite.com/e/pitchers-drag-picnic-tickets-58969769167?aff=ebdssbdestsearch","Pitcher's Drag Picnic","1:00 PM – 3:00 PM EDT","Sat, April 13, 2019","Pitchers DC
									2317 18th Street Northwest 
									Washington, DC 20009 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Performance""},{""tags"":""Community""}]"
"1554997669-472","https://www.eventbrite.com/d/dc--washington/all-events/?page=26","Mid-Atlantic + Government Docker SummitMid-Atlantic + Government Docker Summit","https://www.eventbrite.com/e/mid-atlantic-government-docker-summit-registration-56432755892?aff=ebdssbdestsearch","Mid-Atlantic + Government Docker Summit","8:00 AM – 6:00 PM EDT","Wed, May 29, 2019","Hilton McLean Tysons Corner
									7920 Jones Branch Drive 
									McLean, VA 22102 
									United States 
								
									View Map
									View Map","","$0 – $160","[{""tags"":""Things to do in Mclean, VA""},{""tags"":""Conference""},{""tags"":""Business""}]"
"1554981110-81","https://www.eventbrite.com/d/dc--washington/all-events/?page=45","Conflict Resolution Manual Launch: Panel on Youth Violence Prevention Through Training and OpportunitiesConflict Resolution Manual Launch: Panel on Youth Violence Prevention Throu...","https://www.eventbrite.com/e/conflict-resolution-manual-launch-panel-on-youth-violence-prevention-through-training-and-tickets-58602074382?aff=ebdssbdestsearch","Conflict Resolution Manual Launch: Panel on Youth Violence Prevention Throu...","6:30 PM – 8:30 PM EDT","Mon, April 29, 2019","Abramson Family Founders Room
									American University, School of International Service 
									Corner of New Mexico and Nebraska Avenue, NW 
									Washington, DC 20016 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Networking""},{""tags"":""Charity & Causes""}]"
"1554981493-117","https://www.eventbrite.com/d/dc--washington/all-events/?page=44","Andrew AFB Veteran Job Fair - May 2019 Andrew AFB Veteran Job Fair - May 2019","https://www.eventbrite.com/e/andrew-afb-veteran-job-fair-may-2019-tickets-51362339139?aff=ebdssbdestsearch","Andrew AFB Veteran Job Fair - May 2019","11:00 AM – 1:00 PM EDT","Tue, May 14, 2019","Club Andrew
									1889 Arnold Ave, Joint Base Andrews, MD 
									Andrew, MD 20762 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Andrew, MD""},{""tags"":""Festival""},{""tags"":""Business""}]"
"1554999194-771","https://www.eventbrite.com/d/dc--washington/all-events/?page=11","20 Years Of 12 Days Spring Soiree! 20 Years Of 12 Days Spring Soiree!","https://www.eventbrite.com/e/20-years-of-12-days-spring-soiree-tickets-58833433383?aff=ebdssbdestsearch","20 Years Of 12 Days Spring Soiree!","7:00 PM – 11:00 PM EDT","Sat, May 4, 2019","La Vie
									88 District Square Southwest 
									The Penthouse 
									Washington, DC 20024 
									United States 
								
									View Map
									View Map","","$50","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Charity & Causes""}]"
"1554987920-269","https://www.eventbrite.com/d/dc--washington/all-events/?page=36","Coaching Agile Teams - DCCoaching Agile Teams - DC","https://www.eventbrite.com/e/coaching-agile-teams-dc-tickets-55271285904?aff=ebdssbdestsearch","Coaching Agile Teams - DC","Fri, Apr 19, 2019, 5:00 PM EDT","Wed, Apr 17, 2019, 9:00 AM –","Arlington Tech eXchange (Excella)
									 2300 Wilson Bvd 
									Suite 600 
									Arlington, VA 22201 
									United States","","$2,000 – $2,480","[{""tags"":""Things to do in Arlington, VA""}]"
"1554982484-142","https://www.eventbrite.com/d/dc--washington/all-events/?page=42","National Prayer Breakfast on Creation Care National Prayer Breakfast on Creation Care","https://www.eventbrite.com/e/national-prayer-breakfast-on-creation-care-tickets-56220361615?aff=ebdssbdestsearch","National Prayer Breakfast on Creation Care","9:30 AM – 11:30 AM EDT","Mon, May 6, 2019","InterContinental The Willard Washington D.C.
									1401 Pennsylvania Avenue Northwest 
									Washington, DC 20004 
									United States 
								
									View Map
									View Map","","$50","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Other""},{""tags"":""Spirituality""}]"
"1554996823-329","https://www.eventbrite.com/d/dc--washington/all-events/?page=33","Segundo de Chomón Live MusicSegundo de Chomón Live Music","https://www.eventbrite.com/e/segundo-de-chomon-live-music-tickets-59117253296?aff=ebdssbdestsearch","Segundo de Chomón Live Music","7:00 PM – 9:00 PM EDT","Wed, April 17, 2019","Former Residence of the Ambassadors of Spain
									2801 16th Street Northwest 
									Washington, DC 20009 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Performance""},{""tags"":""Music""}]"
"1554998896-709","https://www.eventbrite.com/d/dc--washington/all-events/?page=14","Adversary Tactics - Red Team Operations Training Course - D.C. April 2019Adversary Tactics - Red Team Operations Training Course - D.C. April 2019","https://www.eventbrite.com/e/adversary-tactics-red-team-operations-training-course-dc-april-2019-tickets-54735183407?aff=ebdssbdestsearch","Adversary Tactics - Red Team Operations Training Course - D.C. April 2019","Fri, Apr 26, 2019, 5:00 PM EDT","Tue, Apr 23, 2019, 9:00 AM –","Hyatt Regency Tysons Corner
									7901 Tysons One Pl 
									Mclean, VA 22102 
									United States 
								
									View Map
									View Map","","$4,000","[{""tags"":""Things to do in Mclean, VA""},{""tags"":""Class""},{""tags"":""Science & Tech""}]"
"1554998967-724","https://www.eventbrite.com/d/dc--washington/all-events/?page=13","B.O.O.T.S. for DAWN    Breaking Out Of The Silence FundraiserB.O.O.T.S. for DAWN    Breaking Out Of The Silence Fundraiser","https://www.eventbrite.com/e/boots-for-dawn-breaking-out-of-the-silence-fundraiser-tickets-57537736920?aff=ebdssbdestsearch","B.O.O.T.S. for DAWN	Breaking Out Of The Silence Fundraiser","7:00 PM – 11:00 PM EDT","Sat, April 13, 2019","City Winery DC
									1350 Okie Street Northeast 
									Washington, DC 20002 
									United States 
								
									View Map
									View Map","","$75 – $160","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Party""},{""tags"":""Charity & Causes""}]"
"1554982285-138","https://www.eventbrite.com/d/dc--washington/all-events/?page=43","Curvy Girl Shopping Party with ModCloth Curvy Girl Shopping Party with ModCloth","https://www.eventbrite.com/e/curvy-girl-shopping-party-with-modcloth-tickets-58869869364?aff=ebdssbdestsearch","Curvy Girl Shopping Party with ModCloth","7:00 PM – 9:00 PM EDT","Fri, April 12, 2019","ModCloth DC
									1924 8th St NW #130 
									Washington, DC 20001 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Party""},{""tags"":""Fashion""}]"
"1554997184-389","https://www.eventbrite.com/d/dc--washington/all-events/?page=30","Into the Deep w/ Kirby de LanerolleInto the Deep w/ Kirby de Lanerolle","https://www.eventbrite.com/e/into-the-deep-w-kirby-de-lanerolle-tickets-59239575164?aff=ebdssbdestsearch","Into the Deep w/ Kirby de Lanerolle","7:00 PM – 10:00 PM EDT","Fri, April 12, 2019","Open Heaven Church
									6066 Leesburg Pike 
									Falls Church, VA 22041 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Falls Church, VA""},{""tags"":""Other""}]"
"1554981454-113","https://www.eventbrite.com/d/dc--washington/all-events/?page=44","JHM Medical Staff Leadership Retreat: Emotional Intelligence and Temperament Theory JHM Medical Staff Leadership Retreat: Emotional Intelligence and Temperamen...","https://www.eventbrite.com/e/jhm-medical-staff-leadership-retreat-emotional-intelligence-and-temperament-theory-tickets-58874177249?aff=ebdssbdestsearch","null","null","null","null","","null","[{""tags"":""""}]"
"1554980481-11","https://www.eventbrite.com/d/dc--washington/all-events/?page=49","DC Style Shoot Workshop - Spring EditionDC Style Shoot Workshop - Spring Edition","https://www.eventbrite.com/e/dc-style-shoot-workshop-spring-edition-tickets-55157864658?aff=ebdssbdestsearch","DC Style Shoot Workshop - Spring Edition","9:00 AM – 5:00 PM EDT","Sat, April 27, 2019","The Darcy Hotel
									1515 Rhode Island ave NW 
									Washington, DC 20005 
									United States 
								
									View Map
									View Map","","$150 – $497","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Class""},{""tags"":""Business""}]"
"1554985721-217","https://www.eventbrite.com/d/dc--washington/all-events/?page=39","Murder Mystery Party - Washington DCMurder Mystery Party - Washington DC","https://www.eventbrite.com/e/murder-mystery-party-washington-dc-tickets-56914376432?aff=ebdssbdestsearch","Murder Mystery Party - Washington DC","7:00 PM – 9:00 PM EDT","Sat, May 18, 2019","Select a different date","","$30 – $45","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Party""},{""tags"":""Film & Media""}]"
"1554983630-167","https://www.eventbrite.com/d/dc--washington/all-events/?page=41","2019 DC Metro interNational Nanny Training Day2019 DC Metro interNational Nanny Training Day","https://www.eventbrite.com/e/2019-dc-metro-international-nanny-training-day-tickets-56283804374?aff=ebdssbdestsearch","null","null","null","null","","null","[{""tags"":""ienced you are and what makes you stand out from other nannies that may be interviewing for the same position.""},{""tags"":""ienced you are and what makes you stand out from other nannies that may be interviewing for the same position.""},{""tags"":""""},{""tags"":""""},{""tags"":""* Soft steak fry-sized foods are great beginning foods\n* Picky eating before 18m is a problem\n* Narrow spoons with a shallow depth are best\n* Approach lips horizontally\n* Avoid depositing food on the roof of the mouth\n* Open cups and staws cups are winners\n* Spouted sippy cups (while popular are a no-no)\n* Not all babies fit all high chairs. Find a good fit chair\n* Tray height matters\n* 5""},{""tags"":""* Picky eating before 18m is a problem\n* Narrow spoons with a shallow depth are best\n* Approach lips horizontally\n* Avoid depositing food on the roof of the mouth\n* Open cups and staws cups are winners\n* Spouted sippy cups (while popular are a no-no)\n* Not all babies fit all high chairs. Find a good fit chair\n* Tray height matters\n* 5""},{""tags"":""point harnesses restrict movement and feeding abilities""},{""tags"":""point harnesses restrict movement and feeding abilities""},{""tags"":""nts and will help us explore ways for us to approach parents and work together in the best interests of our kids.""},{""tags"":""""},{""tags"":""! New members are always welcome.""},{""tags"":""! New members are always welcome.""}]"
"1554997548-449","https://www.eventbrite.com/d/dc--washington/all-events/?page=27","OPERA SATURDAYS Presents ""PRIVILEGE"" OPERA SATURDAYS Presents ""PRIVILEGE""","https://www.eventbrite.com/e/opera-saturdays-presents-privilege-tickets-50201280381?aff=ebdssbdestsearch","OPERA SATURDAYS Presents ""PRIVILEGE""","Sun, Apr 14, 2019, 3:00 AM EDT","Sat, Apr 13, 2019, 10:00 PM –","Select a different date","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Party""},{""tags"":""Other""}]"
"1554996766-318","https://www.eventbrite.com/d/dc--washington/all-events/?page=33","U.S. EPA: Water Quality Standards Academy April 29-May 3, 2019U.S. EPA: Water Quality Standards Academy April 29-May 3, 2019","https://www.eventbrite.com/e/us-epa-water-quality-standards-academy-april-29-may-3-2019-tickets-57641593558?aff=ebdssbdestsearch","U.S. EPA: Water Quality Standards Academy April 29-May 3, 2019","Fri, May 3, 2019, 12:00 PM EDT","Mon, Apr 29, 2019, 8:30 AM –","Washington, District of Columbia 
									United States","","Free","[{""tags"":""Things to do in Washington""}]"
"1555000111-964","https://www.eventbrite.com/d/dc--washington/all-events/?page=1","DisclosureDisclosure","https://www.eventbrite.com/e/disclosure-tickets-58565039610?aff=ebdssbdestsearch","Disclosure","Fri, May 24, 2019, 2:00 AM EDT","Thu, May 23, 2019, 9:00 PM –","Echostage
									2135 Queens Chapel Road Northeast 
									Washington, DC 20018 
									United States 
								
									View Map
									View Map","","$40","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Performance""},{""tags"":""Music""}]"
"1554981266-88","https://www.eventbrite.com/d/dc--washington/all-events/?page=45","AAUW Work Smart in DC at the John A. Wilson Building - May 9AAUW Work Smart in DC at the John A. Wilson Building - May 9","https://www.eventbrite.com/e/aauw-work-smart-in-dc-at-the-john-a-wilson-building-may-9-tickets-53309909374?aff=ebdssbdestsearch","AAUW Work Smart in DC at the John A. Wilson Building - May 9","6:30 PM – 8:30 PM EDT","Thu, May 9, 2019","John A. Wilson Building
									1350 Pennsylvania Avenue NW 
									Room G9 
									Washington, DC 20004 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Networking""},{""tags"":""Business""}]"
"1554997246-396","https://www.eventbrite.com/d/dc--washington/all-events/?page=29","SNEAKER CON WASHINGTON DC SEPTEMBER 7TH AND 8TH, 2019SNEAKER CON WASHINGTON DC SEPTEMBER 7TH AND 8TH, 2019","https://www.eventbrite.com/e/sneaker-con-washington-dc-september-7th-and-8th-2019-tickets-59084061017?aff=ebdssbdestsearch","null","null","null","null","","null","[{""tags"":""""}]"
"1554997678-474","https://www.eventbrite.com/d/dc--washington/all-events/?page=26","China’s Move into the High Income CategoryChina’s Move into the High Income Category","https://www.eventbrite.com/e/chinas-move-into-the-high-income-category-tickets-59334575312?aff=ebdssbdestsearch","China’s Move into the High Income Category","","Fri, Apr 12, 2019, 12:00 PM EDT","Johns Hopkins University - Kenney Auditorium
									17`40 Massachusetts Avenue, NW 
									Washington, D.C. 20036 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington""},{""tags"":""Seminar""},{""tags"":""Other""}]"
"1554999824-904","https://www.eventbrite.com/d/dc--washington/all-events/?page=4","Magi-Whirl 2019 Gala Magic ShowMagi-Whirl 2019 Gala Magic Show","https://www.eventbrite.com/e/magi-whirl-2019-gala-magic-show-tickets-53227952238?aff=ebdssbdestsearch","Magi-Whirl 2019 Gala Magic Show","7:00 PM – 8:30 PM EDT","Sat, April 13, 2019","Rachel M. Schlesinger Concert Hall and Arts Center
									4915 East Campus Drive 
									Alexandria, VA 22311 
									United States 
								
									View Map
									View Map","","$10 – $30","[{""tags"":""Things to do in Alexandria, VA""},{""tags"":""Performance""},{""tags"":""Arts""}]"
"1554997700-478","https://www.eventbrite.com/d/dc--washington/all-events/?page=25","2019 Dental Business & Legal Symposium 2019 Dental Business & Legal Symposium","https://www.eventbrite.com/e/2019-dental-business-legal-symposium-tickets-53818205702?aff=ebdssbdestsearch","2019 Dental Business & Legal Symposium","Sat, Oct 19, 2019, 5:00 PM EDT","Fri, Oct 18, 2019, 8:00 AM –","MGM National Harbor
									101 MGM National Avenue 
									Oxon Hill, MD 20745 
									United States 
								
									View Map
									View Map","","$399 – $499","[{""tags"":""""},{""tags"":""""},{""tags"":""""},{""tags"":""""},{""tags"":""""},{""tags"":""""},{""tags"":""Things to do in Oxon Hill, MD""},{""tags"":""Conference""},{""tags"":""Business""}]"
"1554999557-847","https://www.eventbrite.com/d/dc--washington/all-events/?page=7","Capitol Hill Ocean Week 2019 Capitol Hill Ocean Week 2019","https://www.eventbrite.com/e/capitol-hill-ocean-week-2019-tickets-58874651668?aff=ebdssbdestsearch","Capitol Hill Ocean Week 2019","Thu, Jun 6, 2019, 7:00 PM EDT","Tue, Jun 4, 2019, 9:00 AM –","Washington, DC 20004 
									United States 
								
									View Map
									View Map","","$0 – $350","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Conference""},{""tags"":""Other""}]"
"1554997705-479","https://www.eventbrite.com/d/dc--washington/all-events/?page=25","SATURDAY CHAMPAGNE BRUNCH & DAY PARTY SATURDAY CHAMPAGNE BRUNCH & DAY PARTY","https://www.eventbrite.com/e/saturday-champagne-brunch-day-party-tickets-59057832567?aff=ebdssbdestsearch","SATURDAY CHAMPAGNE BRUNCH & DAY PARTY","2:00 PM – 10:00 PM EDT","Sat, April 13, 2019","BARCODE 
									1101 17TH STREET NW 
									WASHINGTON , DC 20036 
									United States 
								
									View Map
									View Map","","$0 – $40","[{""tags"":""""},{""tags"":""OUTDOOR PATIO \nBOARD GAMES \nHOOKAH BAR - AVAILABLE AT 5PM \nFULL MENU - DAY PARTY ONLY STARTING AT 6PM\n$10 GARAGE PARKING DIRECTLY ACROSS THE STREET - AVAILABLE AT 4:00PM""},{""tags"":""FOR BRUNCH | DINNER & BOTTLE SERVICE RESERVATIONS  \nPLEASE EMAIL TLFRASIER@AOL.COM OR CALL 301.367.1473""},{""tags"":""Things to do in Washington, DC""},{""tags"":""Party""},{""tags"":""Food & Drink""}]"
"1554999829-905","https://www.eventbrite.com/d/dc--washington/all-events/?page=4","Broccoli City Brunch + Day Party at The Park!Broccoli City Brunch + Day Party at The Park!","https://www.eventbrite.com/e/broccoli-city-brunch-day-party-at-the-park-tickets-56670746729?aff=ebdssbdestsearch","Broccoli City Brunch + Day Party at The Park!","12:30 PM – 8:45 PM EDT","Sun, April 28, 2019","The Park at 14th
									920 14th Street Northwest 
									Washington, DC 20005 
									United States 
								
									View Map
									View Map","","$0 – $45","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Party""},{""tags"":""Food & Drink""}]"
"1554999870-914","https://www.eventbrite.com/d/dc--washington/all-events/?page=4","CampaignTech East 2019CampaignTech East 2019","https://www.eventbrite.com/e/campaigntech-east-2019-tickets-48416504067?aff=ebdssbdestsearch","CampaignTech East 2019","Thu, Apr 25, 2019, 5:00 PM EDT","Wed, Apr 24, 2019, 8:00 AM –","FHI 360
									1825 Connecticut Avenue Northwest 
									Washington, DC 20009 
									United States 
								
									View Map
									View Map","","$649 – $899","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Conference""},{""tags"":""Government""}]"
"1554998799-688","https://www.eventbrite.com/d/dc--washington/all-events/?page=15","ALUMNI & PARENTS WEEKEND 2019 - ""A Legacy of Student Success""ALUMNI & PARENTS WEEKEND 2019 - ""A Legacy of Student Success""","https://www.eventbrite.com/e/alumni-parents-weekend-2019-a-legacy-of-student-success-tickets-56426935483?aff=ebdssbdestsearch","ALUMNI & PARENTS WEEKEND 2019 - ""A Legacy of Student Success""","Sun, Apr 14, 2019, 11:00 PM EDT","Thu, Apr 11, 2019, 5:00 PM –","Washington Adventist University
									7600 Flower Avenue 
									Takoma Park, MD 20912 
									United States 
								
									View Map
									View Map","","$0 – $30","[{""tags"":""Things to do in Takoma Park, MD""},{""tags"":""Party""},{""tags"":""School Activities""}]"
"1554996889-339","https://www.eventbrite.com/d/dc--washington/all-events/?page=32","DC Comedy Festival:Tony Woods and Carmen LynchDC Comedy Festival:Tony Woods and Carmen Lynch","https://www.eventbrite.com/e/dc-comedy-festivaltony-woods-and-carmen-lynch-tickets-53308871269?aff=ebdssbdestsearch","DC Comedy Festival:Tony Woods and Carmen Lynch","8:00 PM – 9:30 PM EDT","Sat, April 13, 2019","The Miracle Theatre
									535 8th Street Southeast 
									Washington, DC 20003 
									United States 
								
									View Map
									View Map","","$0 – $45","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Festival""},{""tags"":""Arts""}]"
"1554999027-735","https://www.eventbrite.com/d/dc--washington/all-events/?page=12","Gryphon Sundays Brunch & Day Party Gryphon Sundays Brunch & Day Party","https://www.eventbrite.com/e/gryphon-sundays-brunch-day-party-tickets-48519415879?aff=ebdssbdestsearch","Gryphon Sundays Brunch & Day Party","12:30 PM – 10:00 PM EDT","Sun, April 14, 2019","Select a different date","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Party""},{""tags"":""Food & Drink""}]"
"1554980868-51","https://www.eventbrite.com/d/dc--washington/all-events/?page=47","""DRIVE FOCUSED, SOBER & SAFE"" Campaign Kick Off""DRIVE FOCUSED, SOBER & SAFE"" Campaign Kick Off","https://www.eventbrite.com/e/drive-focused-sober-safe-campaign-kick-off-tickets-58654046833?aff=ebdssbdestsearch","""DRIVE FOCUSED, SOBER & SAFE"" Campaign Kick Off","9:30 AM – 1:00 PM EDT","Sat, April 27, 2019","Southern Regional Technology and Recreation Complex
									7007 Bock Road 
									Oxon Hill, MD 20744 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Oxon Hill, MD""},{""tags"":""Other""},{""tags"":""Community""}]"
"1554981182-85","https://www.eventbrite.com/d/dc--washington/all-events/?page=45","I Am What I Am: The Music of Jerry HermanI Am What I Am: The Music of Jerry Herman","https://www.eventbrite.com/e/i-am-what-i-am-the-music-of-jerry-herman-tickets-50874452858?aff=ebdssbdestsearch","I Am What I Am: The Music of Jerry Herman","8:00 PM – 9:30 PM EDT","Sat, May 18, 2019","Arena Stage - Fichandler Stage
									1101 6th Street Southwest 
									Washington, DC 20024 
									United States 
								
									View Map
									View Map","","$25 – $110","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Performance""},{""tags"":""Music""}]"
"1554997989-534","https://www.eventbrite.com/d/dc--washington/all-events/?page=23","Washington DC Job Fair - Get Hired in Washington DCWashington DC Job Fair - Get Hired in Washington DC","https://www.eventbrite.com/e/washington-dc-job-fair-get-hired-in-washington-dc-tickets-52425045723?aff=ebdssbdestsearch","Washington DC Job Fair - Get Hired in Washington DC","11:00 AM – 2:00 PM EDT","Thu, May 2, 2019","Select a different date","","$0 – $795","[{""tags"":""Things to do in Arlington, VA""},{""tags"":""Festival""},{""tags"":""Business""}]"
"1554998653-667","https://www.eventbrite.com/d/dc--washington/all-events/?page=16","Black Girl Health Exhibitor Wanted/ THIS IS NOT A TICKET FOR THE EVENTBlack Girl Health Exhibitor Wanted/ THIS IS NOT A TICKET FOR THE EVENT","https://www.eventbrite.com/e/black-girl-health-exhibitor-wanted-this-is-not-a-ticket-for-the-event-tickets-54571162817?aff=ebdssbdestsearch","Black Girl Health Exhibitor Wanted/ THIS IS NOT A TICKET FOR THE EVENT","10:00 AM – 6:00 PM EDT","Sat, June 1, 2019","Cloyd Heck Marvin Center
									800 21st Street Northwest 
									Washington, DC 20052 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Expo""},{""tags"":""Health""}]"
"1554983211-158","https://www.eventbrite.com/d/dc--washington/all-events/?page=42","Beltway Ques' Happy Hour at Carolina Kitchen (Hyattsville)Beltway Ques' Happy Hour at Carolina Kitchen (Hyattsville)","https://www.eventbrite.com/e/beltway-ques-happy-hour-at-carolina-kitchen-hyattsville-tickets-58386749339?aff=ebdssbdestsearch","null","null","null","null","","null","[{""tags"":""""}]"
"1554998186-574","https://www.eventbrite.com/d/dc--washington/all-events/?page=21","The 2019 Bank On National Conference The 2019 Bank On National Conference","https://www.eventbrite.com/e/the-2019-bank-on-national-conference-tickets-56118970351?aff=ebdssbdestsearch","The 2019 Bank On National Conference","8:30 AM – 5:00 PM EDT","Wed, May 29, 2019","Newseum
									555 Pennsylvania Avenue, NW 
									Washington, D.C 20001 
									United States 
								
									View Map
									View Map","","$150","[{""tags"":""Things to do in Washington""},{""tags"":""Conference""},{""tags"":""Other""}]"
