web-scraper-order,web-scraper-start-url,url,url-href,title,date,time,venue,price,tags
"1554981926-47","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=47","Community Health & Wellness FairCommunity Health & Wellness Fair","https://www.eventbrite.com/e/community-health-wellness-fair-tickets-58413051008?aff=ebdssbdestsearch","Community Health & Wellness Fair","Sat, April 27, 2019","10:00 AM – 4:00 PM PDT","null","Free","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Festival""},{""tags"":""Health""}]"
"1554980792-13","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=49","Adobe & ""Us""Adobe & ""Us""","https://www.eventbrite.com/e/adobe-us-tickets-60083055035?aff=ebdssbdestsearch","Adobe & ""Us""","Wed, April 24, 2019","6:00 PM – 10:00 PM PDT","null","Free","[{""tags"":""Things to do in Hollywood, CA""},{""tags"":""Networking""},{""tags"":""Film & Media""}]"
"1554983103-82","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=45","BIG SHABBATBIG SHABBAT","https://www.eventbrite.com/e/big-shabbat-tickets-46339185752?aff=ebdssbdestsearch","BIG SHABBAT","Sat, June 1, 2019","9:30 AM – 1:00 PM PDT","null","Free","[{""tags"":""Things to do in Beverly Hills, CA""},{""tags"":""Other""},{""tags"":""Spirituality""}]"
"1554989090-183","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=40","RDGLDGRNRDGLDGRN","https://www.eventbrite.com/e/rdgldgrn-tickets-55937334072?aff=ebdssbdestsearch","RDGLDGRN","Fri, April 26, 2019","8:00 PM – 11:30 PM PDT","The Hi Hat","$13 – $16","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Performance""},{""tags"":""Music""}]"
"1554983232-87","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=45","#MoreThanEnough with Elaine Welteroth#MoreThanEnough with Elaine Welteroth","https://www.eventbrite.com/e/morethanenough-with-elaine-welteroth-tickets-60158637103?aff=ebdssbdestsearch","#MoreThanEnough with Elaine Welteroth","Thu, June 20, 2019","7:00 PM – 9:00 PM PDT","null","Free","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Seminar""},{""tags"":""Home & Lifestyle""}]"
"1554986994-113","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=43","Park Equity Summit 2019Park Equity Summit 2019","https://www.eventbrite.com/e/park-equity-summit-2019-tickets-59794815904?aff=ebdssbdestsearch","Park Equity Summit 2019","Tue, June 4, 2019","8:30 AM – 2:00 PM PDT","No Refunds","$0 – $5,000","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Conference""}]"
"1554981286-28","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=48","The Miguel Atwood-Ferguson EnsembleThe Miguel Atwood-Ferguson Ensemble","https://www.eventbrite.com/e/the-miguel-atwood-ferguson-ensemble-tickets-59800422674?aff=ebdssbdestsearch","The Miguel Atwood-Ferguson Ensemble","Thu, April 18, 2019","8:00 PM – 11:59 PM PDT","Refunds up to 1 day before event","$20","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Performance""},{""tags"":""Music""}]"
"1554988989-180","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=40","CCDET I: HDVIP/PSIPCCDET I: HDVIP/PSIP","https://www.eventbrite.com/e/ccdet-i-hdvippsip-tickets-54366957032?aff=ebdssbdestsearch","CCDET I: HDVIP/PSIP","Thu, April 11, 2019","8:00 AM – 4:30 PM PDT","Los Angeles Trade-Tech College - LATTC","$175","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Class""},{""tags"":""Auto, Boat & Air""}]"
"1554983721-101","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=44","Secrets to Meditation in Los Angeles: An Introduction to The Happiness ProgramSecrets to Meditation in Los Angeles: An Introduction to The Happiness Prog...","https://www.eventbrite.com/e/secrets-to-meditation-in-los-angeles-an-introduction-to-the-happiness-program-tickets-59442729805?aff=ebdssbdestsearch","Secrets to Meditation in Los Angeles: An Introduction to The Happiness Prog...","Thu, April 11, 2019","7:30 PM – 9:00 PM PDT","Art of Living Center","Free","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Seminar""},{""tags"":""Health""}]"
"1554987564-135","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=42","Sisters @ Eight: To Be Pregnant and Black in 2019Sisters @ Eight: To Be Pregnant and Black in 2019","https://www.eventbrite.com/e/sisters-eight-to-be-pregnant-and-black-in-2019-tickets-59070920714?aff=ebdssbdestsearch","Sisters @ Eight: To Be Pregnant and Black in 2019","Fri, April 12, 2019","8:30 AM – 10:30 AM PDT","null","Free","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Seminar""},{""tags"":""Health""}]"
"1554987092-117","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=43","Late Night Bobby Lee, Harland Williams, Chris Spencer, Fahim AnwarLate Night Bobby Lee, Harland Williams, Chris Spencer, Fahim Anwar","https://www.eventbrite.com/e/late-night-bobby-lee-harland-williams-chris-spencer-fahim-anwar-tickets-59022980323?aff=ebdssbdestsearch","Late Night Bobby Lee, Harland Williams, Chris Spencer, Fahim Anwar","Fri, Apr 12, 2019, 10:00 PM –","Sat, Apr 13, 2019, 1:00 AM PDT","null","$20","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Performance""},{""tags"":""Arts""}]"
"1554981088-22","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=48","Los Angeles Career FairLos Angeles Career Fair","https://www.eventbrite.com/e/los-angeles-career-fair-tickets-59671973479?aff=ebdssbdestsearch","Los Angeles Career Fair","Wed, April 24, 2019","10:00 AM – 1:00 PM PDT","null","Free","[{""tags"":""Things to do in Culver City, CA""},{""tags"":""Networking""},{""tags"":""Business""}]"
"1554983134-83","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=45","Facing History and Ourselves: The Liberator Facing History and Ourselves: The Liberator","https://www.eventbrite.com/e/facing-history-and-ourselves-the-liberator-tickets-58042508706?aff=ebdssbdestsearch","Facing History and Ourselves: The Liberator","Sun, April 28, 2019","3:30 PM – 4:30 PM PDT","null","Free","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Arts""}]"
"1554980697-10","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=49","Impact Week 2019 Friday Full-Day ConferenceImpact Week 2019 Friday Full-Day Conference","https://www.eventbrite.com/e/impact-week-2019-friday-full-day-conference-tickets-59856379041?aff=ebdssbdestsearch","Impact Week 2019 Friday Full-Day Conference","Fri, April 26, 2019","9:00 AM – 6:00 PM PDT","Refunds up to 7 days before event","$15","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Conference""},{""tags"":""Business""}]"
"1554988294-159","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=41","Women Who Worship- Praise Night Out Women Who Worship- Praise Night Out","https://www.eventbrite.com/e/women-who-worship-praise-night-out-tickets-55866169216?aff=ebdssbdestsearch","Women Who Worship- Praise Night Out","Sat, April 20, 2019","6:30 PM – 9:30 PM PDT","No Refunds","$10 – $50","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Networking""},{""tags"":""Spirituality""}]"
"1554987660-138","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=42","Sugardaddy Friends and Family  PremiereSugardaddy Friends and Family  Premiere","https://www.eventbrite.com/e/sugardaddy-friends-and-family-premiere-tickets-56663741777?aff=ebdssbdestsearch","Sugardaddy Friends and Family  Premiere","Thu, April 25, 2019","6:00 PM – 9:00 PM PDT","null","Free","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Screening""},{""tags"":""Arts""}]"
"1554981665-40","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=48","Pasadena Photography Arts Presents Open Show #26Pasadena Photography Arts Presents Open Show #26","https://www.eventbrite.com/e/pasadena-photography-arts-presents-open-show-26-tickets-59360562039?aff=ebdssbdestsearch","Pasadena Photography Arts Presents Open Show #26","Thu, April 11, 2019","7:00 PM – 9:00 PM PDT","null","Free","[{""tags"":""Things to do in Pasadena, CA""},{""tags"":""Seminar""},{""tags"":""Community""}]"
"1554981863-45","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=47","Grandtheft x WukiGrandtheft x Wuki","https://www.eventbrite.com/e/grandtheft-x-wuki-tickets-59363585081?aff=ebdssbdestsearch","Grandtheft x Wuki","Fri, May 10, 2019, 10:00 PM –","Sat, May 11, 2019, 3:00 AM PDT","Exchange LA","$15 – $90","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Performance""},{""tags"":""Music""}]"
"1554983881-106","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=44","Candidate Advancement Program (CAP) - ARTCCandidate Advancement Program (CAP) - ARTC","https://www.eventbrite.com/e/candidate-advancement-program-cap-artc-tickets-57743271680?aff=ebdssbdestsearch","Candidate Advancement Program (CAP) - ARTC","Sat, April 13, 2019","7:30 AM – 10:30 AM PDT","Ahmanson Recruit Training Center","Free","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Other""},{""tags"":""Sports & Fitness""}]"
"1554987823-143","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=42","Paris at NightLA presents ""Coachella Vibes "" at Le JardinParis at NightLA presents ""Coachella Vibes "" at Le Jardin","https://www.eventbrite.com/e/paris-at-nightla-presents-coachella-vibes-at-le-jardin-tickets-59250937148?aff=ebdssbdestsearch","Paris at NightLA presents ""Coachella Vibes "" at Le Jardin","Sat, Apr 13, 2019, 10:30 PM –","Sun, Apr 14, 2019, 2:30 AM PDT","null","Free","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Party""}]"
"1554983499-95","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=45","Mixer- 2019 ACHE Western Region College BowlMixer- 2019 ACHE Western Region College Bowl","https://www.eventbrite.com/e/mixer-2019-ache-western-region-college-bowl-tickets-59351786792?aff=ebdssbdestsearch","Mixer- 2019 ACHE Western Region College Bowl","Sun, April 14, 2019","5:00 PM – 7:00 PM PDT","null","$0 – $15","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Networking""},{""tags"":""Health""}]"
"1554988860-176","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=40","Music & Ecstasy (Day One): Celebrating A. J. RACY’s 40 Years at UCLAMusic & Ecstasy (Day One): Celebrating A. J. RACY’s 40 Years at UCLA","https://www.eventbrite.com/e/music-ecstasy-day-one-celebrating-a-j-racys-40-years-at-ucla-tickets-58458605262?aff=ebdssbdestsearch","null","null","null","null","null","[]"
"1554987248-124","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=43","Eat|See|Hear Outdoor Movie: Thelma and LouiseEat|See|Hear Outdoor Movie: Thelma and Louise","https://www.eventbrite.com/e/eatseehear-outdoor-movie-thelma-and-louise-tickets-57642683819?aff=ebdssbdestsearch","Eat|See|Hear Outdoor Movie: Thelma and Louise","Sat, June 15, 2019","5:30 PM – 11:30 PM PDT","null","$8 – $21","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Screening""},{""tags"":""Film & Media""}]"
"1554982702-69","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=46","Film Tour & Tea at The Langham Huntington (05/25/2019, 10:30am)Film Tour & Tea at The Langham Huntington (05/25/2019, 10:30am)","https://www.eventbrite.com/e/film-tour-tea-at-the-langham-huntington-05252019-1030am-tickets-59093911480?aff=ebdssbdestsearch","Film Tour & Tea at The Langham Huntington (05/25/2019, 10:30am)","Sat, May 25, 2019","10:30 AM – 1:00 PM PDT","No Refunds","$60","[{""tags"":""Things to do in Pasadena, CA""},{""tags"":""Tour""},{""tags"":""Film & Media""}]"
"1554980921-17","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=49","For the Record: The Brat PackFor the Record: The Brat Pack","https://www.eventbrite.com/e/for-the-record-the-brat-pack-tickets-59624922749?aff=ebdssbdestsearch","For the Record: The Brat Pack","Sat, April 20, 2019","7:30 PM – 9:00 PM PDT","No Refunds","$26 – $86","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Performance""},{""tags"":""Arts""}]"
"1554987758-141","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=42","Atlas Obscura Society Los Angeles: Bohemian Cristal Instrument at Hotel FigueroaAtlas Obscura Society Los Angeles: Bohemian Cristal Instrument at Hotel Fig...","https://www.eventbrite.com/e/atlas-obscura-society-los-angeles-bohemian-cristal-instrument-at-hotel-figueroa-tickets-59145413524?aff=ebdssbdestsearch","Atlas Obscura Society Los Angeles: Bohemian Cristal Instrument at Hotel Fig...","Sun, April 21, 2019","7:00 PM – 9:00 PM PDT","No Refunds","$20 – $35","[{""tags"":""Things to do in Los Angeles""},{""tags"":""Tour""},{""tags"":""Hobbies""}]"
"1554988169-155","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=41","Sakara Cookbook CelebrationSakara Cookbook Celebration","https://www.eventbrite.com/e/sakara-cookbook-celebration-tickets-59411184452?aff=ebdssbdestsearch","Sakara Cookbook Celebration","Wed, April 17, 2019","5:30 PM – 7:30 PM PDT","null","$35","[{""tags"":""Things to do in Beverly Hills, CA""},{""tags"":""Seminar""},{""tags"":""Health""}]"
"1554982235-55","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=47","IEBA Membership Mixer - Los AngelesIEBA Membership Mixer - Los Angeles","https://www.eventbrite.com/e/ieba-membership-mixer-los-angeles-registration-60139994342?aff=ebdssbdestsearch","IEBA Membership Mixer - Los Angeles","Mon, May 6, 2019","6:00 PM – 8:00 PM PDT","null","Free","[{""tags"":""Things to do in Los Angeles, CA""}]"
"1554987410-130","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=42","Pasadena Trail Half & 5K/10KPasadena Trail Half & 5K/10K","https://www.eventbrite.com/e/pasadena-trail-half-5k10k-tickets-54767087834?aff=ebdssbdestsearch","Pasadena Trail Half & 5K/10K","Sun, October 20, 2019","7:00 AM – 11:30 AM PDT","No Refunds","$36 – $60","[{""tags"":""Things to do in Pasadena, CA""},{""tags"":""Race""},{""tags"":""Health""}]"
"1554980890-16","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=49","Shakespeare's Ripper with Naomi Claire WallaceShakespeare's Ripper with Naomi Claire Wallace","https://www.eventbrite.com/e/shakespeares-ripper-with-naomi-claire-wallace-tickets-55614369075?aff=ebdssbdestsearch","Shakespeare's Ripper with Naomi Claire Wallace","Tue, April 16, 2019","7:30 PM – 9:00 PM PDT","null","$17.99","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Appearance""},{""tags"":""Hobbies""}]"
"1554988108-153","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=41","Prairie View A&M University Los Angeles Alumni and Friends an Evening with  Ruth J. Simmons-PresidentPrairie View A&M University Los Angeles Alumni and Friends an Evening with ...","https://www.eventbrite.com/e/prairie-view-am-university-los-angeles-alumni-and-friends-an-evening-with-ruth-j-simmons-president-registration-58285444333?aff=ebdssbdestsearch","Prairie View A&M University Los Angeles Alumni and Friends an Evening with...","Sun, April 14, 2019","4:00 PM – 7:00 PM PDT","null","Free","[{""tags"":""Things to do in Beverly Hills, CA""},{""tags"":""Party""},{""tags"":""Business""}]"
"1554987949-147","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=42","Pure Bathing CulturePure Bathing Culture","https://www.eventbrite.com/e/pure-bathing-culture-tickets-56932809566?aff=ebdssbdestsearch","Pure Bathing Culture","Wed, June 5, 2019","8:30 PM – 11:59 PM PDT","Bootleg Theater - Bar Stage","$10 – $12","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Performance""},{""tags"":""Music""}]"
"1554981016-20","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=49","LA Creative and Tech Professionals Meetup LA Creative and Tech Professionals Meetup","https://www.eventbrite.com/e/la-creative-and-tech-professionals-meetup-tickets-56388251779?aff=ebdssbdestsearch","LA Creative and Tech Professionals Meetup","Tue, May 7, 2019","6:00 PM – 9:00 PM PDT","Two Bit Circus Micro Amusement Park","$5 – $11","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Networking""},{""tags"":""Film & Media""}]"
"1554987984-149","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=41","5th Annual Arcadia Innovation Summit5th Annual Arcadia Innovation Summit","https://www.eventbrite.com/e/5th-annual-arcadia-innovation-summit-tickets-54866114024?aff=ebdssbdestsearch","null","null","null","null","null","[]"
"1554983070-81","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=45","Eat|See|Hear Outdoor Movie: The Princess BrideEat|See|Hear Outdoor Movie: The Princess Bride","https://www.eventbrite.com/e/eatseehear-outdoor-movie-the-princess-bride-tickets-57644573471?aff=ebdssbdestsearch","Eat|See|Hear Outdoor Movie: The Princess Bride","Sat, June 8, 2019","5:30 PM – 11:30 PM PDT","null","$8 – $21","[{""tags"":""Things to do in Pasadena, CA""},{""tags"":""Screening""},{""tags"":""Film & Media""}]"
"1554987596-136","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=42","2019 Korean History and Culture Seminar for Educators2019 Korean History and Culture Seminar for Educators","https://www.eventbrite.com/e/2019-korean-history-and-culture-seminar-for-educators-tickets-55386524586?aff=ebdssbdestsearch","2019 Korean History and Culture Seminar for Educators","Mon, Jun 24, 2019, 8:00 AM –","Fri, Jun 28, 2019, 4:30 PM PDT","null","Free","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Conference""},{""tags"":""Family & Education""}]"
"1554987023-114","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=43","POWERMAN 5000, KNEE HIGH FOX, SECRET SOCIAL CLUBPOWERMAN 5000, KNEE HIGH FOX, SECRET SOCIAL CLUB","https://www.eventbrite.com/e/powerman-5000-knee-high-fox-secret-social-club-tickets-58819445545?aff=ebdssbdestsearch","POWERMAN 5000, KNEE HIGH FOX, SECRET SOCIAL CLUB","Wed, May 8, 2019","8:00 PM – 11:59 PM PDT","The Viper Room","$15 – $400","[{""tags"":""Things to do in West Hollywood, CA""},{""tags"":""Performance""},{""tags"":""Music""}]"
"1554981431-33","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=48","PANDEMONIUM: A B2K Era Tribute PartyPANDEMONIUM: A B2K Era Tribute Party","https://www.eventbrite.com/e/pandemonium-a-b2k-era-tribute-party-tickets-59517868547?aff=ebdssbdestsearch","PANDEMONIUM: A B2K Era Tribute Party","Fri, Apr 12, 2019, 10:00 PM –","Sat, Apr 13, 2019, 2:00 AM PDT","No Refunds","$0 – $20","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Party""},{""tags"":""Community""}]"
"1554981391-32","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=48","The Early Show Joey Diaz, Kirk Fox, Barry Rothbart, Steve SimeoneThe Early Show Joey Diaz, Kirk Fox, Barry Rothbart, Steve Simeone","https://www.eventbrite.com/e/the-early-show-joey-diaz-kirk-fox-barry-rothbart-steve-simeone-tickets-59024557039?aff=ebdssbdestsearch","The Early Show Joey Diaz, Kirk Fox, Barry Rothbart, Steve Simeone","Sat, April 13, 2019","7:30 PM – 9:45 PM PDT","null","$10","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Performance""},{""tags"":""Arts""}]"
"1554981569-37","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=48","SB 2 Planning Grant Program NOFA and Technical Assistance SeminarSB 2 Planning Grant Program NOFA and Technical Assistance Seminar","https://www.eventbrite.com/e/sb-2-planning-grant-program-nofa-and-technical-assistance-seminar-tickets-59349307376?aff=ebdssbdestsearch","SB 2 Planning Grant Program NOFA and Technical Assistance Seminar","Thu, April 25, 2019","10:00 AM – 2:00 PM PDT","null","Free","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Seminar""},{""tags"":""Government""}]"
"1554983849-105","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=44","2019 Mommy and Me Mini Shoots2019 Mommy and Me Mini Shoots","https://www.eventbrite.com/e/2019-mommy-and-me-mini-shoots-tickets-59809011363?aff=ebdssbdestsearch","2019 Mommy and Me Mini Shoots","Sat, May 4, 2019, 9:00 AM –","Sun, May 5, 2019, 6:00 PM PDT","No Refunds","$475 – $525","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Appearance""},{""tags"":""Family & Education""}]"
"1554989057-182","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=40","2019 API Government Job Fair 3.0 (New Date & Location!)2019 API Government Job Fair 3.0 (New Date & Location!)","https://www.eventbrite.com/e/2019-api-government-job-fair-30-new-date-location-tickets-58458649394?aff=ebdssbdestsearch","2019 API Government Job Fair 3.0 (New Date & Location!)","Fri, May 17, 2019","10:00 AM – 1:00 PM PDT","null","Free","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Convention""},{""tags"":""Business""}]"
"1554983818-104","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=44","Tacos and TiresTacos and Tires","https://www.eventbrite.com/e/tacos-and-tires-tickets-59799993390?aff=ebdssbdestsearch","Tacos and Tires","Sat, April 13, 2019","11:00 AM – 2:00 PM PDT","null","Free","[{""tags"":""Things to do in Glendale, CA""},{""tags"":""Party""},{""tags"":""Auto, Boat & Air""}]"
"1554980762-12","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=49","Atlas Obscura Society Los Angeles: Weaving Memories the Victorian WayAtlas Obscura Society Los Angeles: Weaving Memories the Victorian Way","https://www.eventbrite.com/e/atlas-obscura-society-los-angeles-weaving-memories-the-victorian-way-tickets-57041017218?aff=ebdssbdestsearch","Atlas Obscura Society Los Angeles: Weaving Memories the Victorian Way","Thu, May 16, 2019","2:15 PM – 5:15 PM PDT","No Refunds","$150","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Tour""},{""tags"":""Hobbies""}]"
"1554980593-7","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=49","Silly Saturday Comedy Train Show 7pm/w Nancy Bellany & FriendsSilly Saturday Comedy Train Show 7pm/w Nancy Bellany & Friends","https://www.eventbrite.com/e/silly-saturday-comedy-train-show-7pmw-nancy-bellany-friends-tickets-58591937061?aff=ebdssbdestsearch","Silly Saturday Comedy Train Show 7pm/w Nancy Bellany & Friends","Sat, April 20, 2019","7:00 PM – 9:00 PM PDT","No Refunds","$18 – $20","[{""tags"":""Things to do in Pasadena, CA""},{""tags"":""Performance""},{""tags"":""Film & Media""}]"
"1554980951-18","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=49","Dear Amy: A Tribute to Amy WinehouseDear Amy: A Tribute to Amy Winehouse","https://www.eventbrite.com/e/dear-amy-a-tribute-to-amy-winehouse-tickets-59722035215?aff=ebdssbdestsearch","Dear Amy: A Tribute to Amy Winehouse","null","null","null","$50","[{""tags"":""Things to do in Studio City, CA""},{""tags"":""Performance""},{""tags"":""Music""}]"
"1554987982-148","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=41","Pain Posture Performance Stretching & Flexibility LAPain Posture Performance Stretching & Flexibility LA","https://www.eventbrite.com/e/pain-posture-performance-stretching-flexibility-la-tickets-55808372344?aff=ebdssbdestsearch","Pain Posture Performance Stretching & Flexibility LA","Sat, Apr 13, 2019, 8:30 AM –","Sun, Apr 14, 2019, 6:00 PM PDT","No Refunds","$449","[{""tags"":""Things to do in Studio City, CA""},{""tags"":""Class""},{""tags"":""Health""}]"
"1554981893-46","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=47","Woman Crush Wednesday Woman Crush Wednesday","https://www.eventbrite.com/e/woman-crush-wednesday-tickets-59415465256?aff=ebdssbdestsearch","Woman Crush Wednesday","Wed, Apr 10, 2019, 9:00 PM –","Thu, Apr 11, 2019, 2:00 AM PDT","No Refunds","$0 – $10","[{""tags"":""Things to do in Huntington Park, CA""},{""tags"":""Party""},{""tags"":""Music""}]"
"1554983332-90","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=45","Panda Express Interview Day - Los Angeles, CAPanda Express Interview Day - Los Angeles, CA","https://www.eventbrite.com/e/panda-express-interview-day-los-angeles-ca-tickets-59800326386?aff=ebdssbdestsearch","Panda Express Interview Day - Los Angeles, CA","Mon, April 22, 2019","2:00 PM – 5:00 PM PDT","null","Free","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Networking""},{""tags"":""Business""}]"
"1554981181-25","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=48","Stardust Extensions WorkshopStardust Extensions Workshop","https://www.eventbrite.com/e/stardust-extensions-workshop-tickets-55812236903?aff=ebdssbdestsearch","Stardust Extensions Workshop","Mon, April 22, 2019","10:00 AM – 6:00 PM PDT","null","$100","[{""tags"":""Things to do in Glendale, CA""},{""tags"":""Class""}]"
"1554980558-4","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=49","2019 West Coast Kubb Championships2019 West Coast Kubb Championships","https://www.eventbrite.com/e/2019-west-coast-kubb-championships-tickets-55058244692?aff=ebdssbdestsearch","2019 West Coast Kubb Championships","Sun, April 28, 2019","9:00 AM – 5:00 PM PDT","No Refunds","$0 – $50","[{""tags"":""Things to do in South Pasadena, CA""},{""tags"":""Game""},{""tags"":""Sports & Fitness""}]"
"1554983530-96","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=45","Downtown Art Walk Gallery TourDowntown Art Walk Gallery Tour","https://www.eventbrite.com/e/downtown-art-walk-gallery-tour-tickets-52888498924?aff=ebdssbdestsearch","Downtown Art Walk Gallery Tour","Thu, April 11, 2019","6:30 PM – 8:00 PM PDT","TO BE ANNOUNCED!","$30","[{""tags"":""Things to do in Downtown Los Angeles, CA""},{""tags"":""Tour""},{""tags"":""Arts""}]"
"1554983563-97","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=45","Daughter and Mother Camp Congress for Girls Los Angeles 2019Daughter and Mother Camp Congress for Girls Los Angeles 2019","https://www.eventbrite.com/e/daughter-and-mother-camp-congress-for-girls-los-angeles-2019-tickets-51219870010?aff=ebdssbdestsearch","null","null","null","null","null","[]"
"1554982866-74","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=46","Soulful Sundays x Comfort LA Soulful Sundays x Comfort LA","https://www.eventbrite.com/e/soulful-sundays-x-comfort-la-tickets-59231026595?aff=ebdssbdestsearch","Soulful Sundays x Comfort LA","Sun, June 2, 2019","2:00 PM – 6:00 PM PDT","null","Free","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Performance""},{""tags"":""Music""}]"
"1554982540-64","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=46","TARANTINATARANTINA","https://www.eventbrite.com/e/tarantina-tickets-58600583924?aff=ebdssbdestsearch","TARANTINA","Thu, April 25, 2019","7:00 PM – 11:30 PM PDT","Refunds up to 7 days before event","$25 – $55","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Performance""},{""tags"":""Film & Media""}]"
"1554988623-168","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=40","Time Travel CabaretTime Travel Cabaret","https://www.eventbrite.com/e/time-travel-cabaret-tickets-59650440072?aff=ebdssbdestsearch","Time Travel Cabaret","Fri, April 12, 2019","7:00 PM – 11:30 PM PDT","No Refunds","$25","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Performance""},{""tags"":""Charity & Causes""}]"
